route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_ft,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_ft,map_distance_miles,real_distance_miles,elevation_change_ft,tan_theta,mpg,gallons_needed,travel_hours,travel_days,best_travel_date,avg_risk_factor
34,6,New York City,NY,40.7128,-74.006,33,10,Pittsburgh,PA,40.4406,-79.9959,1223,314.85,315.07,1190,0.000716,44.68,7.05,4.2,1,2025-11-01,1.0
35,10,Pittsburgh,PA,40.4406,-79.9959,1223,6,New York City,NY,40.7128,-74.006,33,314.85,314.62,-1190,-0.000716,45.32,6.94,4.19,1,2025-11-01,1.0
36,6,New York City,NY,40.7128,-74.006,33,11,Newark,NJ,40.7357,-74.1724,30,8.86,8.86,-3,-6.4e-05,45.03,0.2,0.12,1,2025-11-03,1.0
37,11,Newark,NJ,40.7357,-74.1724,30,6,New York City,NY,40.7128,-74.006,33,8.86,8.86,3,6.4e-05,44.97,0.2,0.12,1,2025-11-03,1.0
38,7,Albany,NY,42.6526,-73.7562,276,9,Philadelphia,PA,39.9526,-75.1652,39,200.37,200.32,-237,-0.000224,45.1,4.44,2.67,1,2025-11-01,1.0
39,9,Philadelphia,PA,39.9526,-75.1652,39,7,Albany,NY,42.6526,-73.7562,276,200.37,200.41,237,0.000224,44.9,4.46,2.67,1,2025-11-01,1.0
40,7,Albany,NY,42.6526,-73.7562,276,10,Pittsburgh,PA,40.4406,-79.9959,1223,356.9,357.08,947,0.000503,44.77,7.98,4.76,1,2025-11-01,1.0
41,10,Pittsburgh,PA,40.4406,-79.9959,1223,7,Albany,NY,42.6526,-73.7562,276,356.9,356.73,-947,-0.000503,45.23,7.89,4.76,1,2025-11-01,1.0
42,7,Albany,NY,42.6526,-73.7562,276,11,Newark,NJ,40.7357,-74.1724,30,134.18,134.13,-246,-0.000347,45.16,2.97,1.79,1,2025-11-01,1.0
43,11,Newark,NJ,40.7357,-74.1724,30,7,Albany,NY,42.6526,-73.7562,276,134.18,134.22,246,0.000347,44.84,2.99,1.79,1,2025-11-01,1.0
44,8,Buffalo,NY,42.8864,-78.8784,600,9,Philadelphia,PA,39.9526,-75.1652,39,279.41,279.31,-561,-0.00038,45.17,6.18,3.72,1,2025-11-01,1.0
45,9,Philadelphia,PA,39.9526,-75.1652,39,8,Buffalo,NY,42.8864,-78.8784,600,279.41,279.52,561,0.00038,44.83,6.24,3.73,1,2025-11-01,1.0
46,8,Buffalo,NY,42.8864,-78.8784,600,10,Pittsburgh,PA,40.4406,-79.9959,1223,178.56,178.68,623,0.000661,44.7,4.0,2.38,1,2025-11-01,1.0
47,10,Pittsburgh,PA,40.4406,-79.9959,1223,8,Buffalo,NY,42.8864,-78.8784,600,178.56,178.44,-623,-0.000661,45.3,3.94,2.38,1,2025-11-01,1.0
48,8,Buffalo,NY,42.8864,-78.8784,600,11,Newark,NJ,40.7357,-74.1724,30,284.22,284.11,-570,-0.00038,45.17,6.29,3.79,1,2025-11-02,1.0
49,11,Newark,NJ,40.7357,-74.1724,30,8,Buffalo,NY,42.8864,-78.8784,600,284.22,284.33,570,0.00038,44.83,6.34,3.79,1,2025-11-02,1.0
50,9,Philadelphia,PA,39.9526,-75.1652,39,11,Newark,NJ,40.7357,-74.1724,30,75.24,75.24,-9,-2.3e-05,45.01,1.67,1.0,1,2025-11-03,1.0
51,11,Newark,NJ,40.7357,-74.1724,30,9,Philadelphia,PA,39.9526,-75.1652,39,75.24,75.24,9,2.3e-05,44.99,1.67,1.0,1,2025-11-03,1.0
52,9,Philadelphia,PA,39.9526,-75.1652,39,12,Wilmington,DE,39.7391,-75.5398,100,24.75,24.76,61,0.000467,44.79,0.55,0.33,1,2025-11-02,1.0
53,12,Wilmington,DE,39.7391,-75.5398,100,9,Philadelphia,PA,39.9526,-75.1652,39,24.75,24.74,-61,-0.000467,45.21,0.55,0.33,1,2025-11-02,1.0
54,9,Philadelphia,PA,39.9526,-75.1652,39,13,Baltimore,MD,39.2904,-76.6122,33,89.58,89.57,-6,-1.3e-05,45.01,1.99,1.19,1,2025-11-01,1.0
55,13,Baltimore,MD,39.2904,-76.6122,33,9,Philadelphia,PA,39.9526,-75.1652,39,89.58,89.58,6,1.3e-05,44.99,1.99,1.19,1,2025-11-01,1.0
56,9,Philadelphia,PA,39.9526,-75.1652,39,15,Charleston,WV,38.3498,-81.6326,597,363.69,363.8,558,0.000291,44.87,8.11,4.85,1,2025-11-04,1.0
57,15,Charleston,WV,38.3498,-81.6326,597,9,Philadelphia,PA,39.9526,-75.1652,39,363.69,363.59,-558,-0.000291,45.13,8.06,4.85,1,2025-11-04,1.0
58,9,Philadelphia,PA,39.9526,-75.1652,39,23,Columbus,OH,39.9612,-82.9988,902,414.75,414.92,863,0.000394,44.82,9.26,5.53,1,2025-11-02,1.0
59,23,Columbus,OH,39.9612,-82.9988,902,9,Philadelphia,PA,39.9526,-75.1652,39,414.75,414.59,-863,-0.000394,45.18,9.18,5.53,1,2025-11-02,1.0
60,9,Philadelphia,PA,39.9526,-75.1652,39,24,Cleveland,OH,41.4993,-81.6944,653,358.09,358.21,614,0.000325,44.85,7.99,4.78,1,2025-11-01,1.0
61,24,Cleveland,OH,41.4993,-81.6944,653,9,Philadelphia,PA,39.9526,-75.1652,39,358.09,357.97,-614,-0.000325,45.15,7.93,4.77,1,2025-11-01,1.0
