route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,map_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
35,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,6,New York City,NY,40.7128,-74.006,0.00625,314.85,314.62,-0.22536,-0.000716,45.32,6.94,4.19,1
36,6,New York City,NY,40.7128,-74.006,0.00625,11,Newark,NJ,40.7357,-74.1724,0.00568,8.86,8.86,-0.00057,-6.40E-05,45.03,0.2,0.12,1
37,11,Newark,NJ,40.7357,-74.1724,0.00568,6,New York City,NY,40.7128,-74.006,0.00625,8.86,8.86,0.00057,6.40E-05,44.97,0.2,0.12,1
38,7,Albany,NY,42.6526,-73.7562,0.05227,9,Philadelphia,PA,39.9526,-75.1652,0.00739,200.37,200.32,-0.04488,-0.000224,45.1,4.44,2.67,1
39,9,Philadelphia,PA,39.9526,-75.1652,0.00739,7,Albany,NY,42.6526,-73.7562,0.05227,200.37,200.41,0.04488,0.000224,44.9,4.46,2.67,1
40,7,Albany,NY,42.6526,-73.7562,0.05227,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,356.9,357.08,0.17934,0.000502,44.77,7.98,4.76,1
41,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,7,Albany,NY,42.6526,-73.7562,0.05227,356.9,356.73,-0.17934,-0.000502,45.23,7.89,4.76,1
42,7,Albany,NY,42.6526,-73.7562,0.05227,11,Newark,NJ,40.7357,-74.1724,0.00568,134.18,134.13,-0.04659,-0.000347,45.16,2.97,1.79,1
43,11,Newark,NJ,40.7357,-74.1724,0.00568,7,Albany,NY,42.6526,-73.7562,0.05227,134.18,134.22,0.04659,0.000347,44.84,2.99,1.79,1
44,8,Buffalo,NY,42.8864,-78.8784,0.11364,9,Philadelphia,PA,39.9526,-75.1652,0.00739,279.41,279.31,-0.10625,-0.00038,45.17,6.18,3.72,1
45,9,Philadelphia,PA,39.9526,-75.1652,0.00739,8,Buffalo,NY,42.8864,-78.8784,0.11364,279.41,279.52,0.10625,0.00038,44.83,6.24,3.73,1
46,8,Buffalo,NY,42.8864,-78.8784,0.11364,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,178.56,178.68,0.11797,0.000661,44.7,4,2.38,1
47,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,8,Buffalo,NY,42.8864,-78.8784,0.11364,178.56,178.44,-0.11797,-0.000661,45.3,3.94,2.38,1
48,8,Buffalo,NY,42.8864,-78.8784,0.11364,11,Newark,NJ,40.7357,-74.1724,0.00568,284.22,284.11,-0.10796,-0.00038,45.17,6.29,3.79,1
49,11,Newark,NJ,40.7357,-74.1724,0.00568,8,Buffalo,NY,42.8864,-78.8784,0.11364,284.22,284.33,0.10796,0.00038,44.83,6.34,3.79,1
50,9,Philadelphia,PA,39.9526,-75.1652,0.00739,11,Newark,NJ,40.7357,-74.1724,0.00568,75.24,75.24,-0.00171,-2.30E-05,45.01,1.67,1,1
51,11,Newark,NJ,40.7357,-74.1724,0.00568,9,Philadelphia,PA,39.9526,-75.1652,0.00739,75.24,75.24,0.00171,2.30E-05,44.99,1.67,1,1
52,9,Philadelphia,PA,39.9526,-75.1652,0.00739,12,Wilmington,DE,39.7391,-75.5398,0.01894,24.75,24.76,0.01155,0.000467,44.79,0.55,0.33,1
53,12,Wilmington,DE,39.7391,-75.5398,0.01894,9,Philadelphia,PA,39.9526,-75.1652,0.00739,24.75,24.74,-0.01155,-0.000467,45.21,0.55,0.33,1
54,9,Philadelphia,PA,39.9526,-75.1652,0.00739,13,Baltimore,MD,39.2904,-76.6122,0.00625,89.58,89.57,-0.00114,-1.30E-05,45.01,1.99,1.19,1
55,13,Baltimore,MD,39.2904,-76.6122,0.00625,9,Philadelphia,PA,39.9526,-75.1652,0.00739,89.58,89.58,0.00114,1.30E-05,44.99,1.99,1.19,1
56,9,Philadelphia,PA,39.9526,-75.1652,0.00739,15,Charleston,WV,38.3498,-81.6326,0.11307,363.69,363.8,0.10568,0.000291,44.87,8.11,4.85,1
57,15,Charleston,WV,38.3498,-81.6326,0.11307,9,Philadelphia,PA,39.9526,-75.1652,0.00739,363.69,363.59,-0.10568,-0.000291,45.13,8.06,4.85,1
58,9,Philadelphia,PA,39.9526,-75.1652,0.00739,23,Columbus,OH,39.9612,-82.9988,0.17083,414.75,414.92,0.16344,0.000394,44.82,9.26,5.53,1
59,23,Columbus,OH,39.9612,-82.9988,0.17083,9,Philadelphia,PA,39.9526,-75.1652,0.00739,414.75,414.59,-0.16344,-0.000394,45.18,9.18,5.53,1
60,9,Philadelphia,PA,39.9526,-75.1652,0.00739,24,Cleveland,OH,41.4993,-81.6944,0.12367,358.09,358.21,0.11628,0.000325,44.85,7.99,4.78,1
61,24,Cleveland,OH,41.4993,-81.6944,0.12367,9,Philadelphia,PA,39.9526,-75.1652,0.00739,358.09,357.97,-0.11628,-0.000325,45.15,7.93,4.77,1
62,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,11,Newark,NJ,40.7357,-74.1724,0.00568,306.18,305.96,-0.22593,-0.000738,45.33,6.75,4.08,1
63,11,Newark,NJ,40.7357,-74.1724,0.00568,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,306.18,306.41,0.22593,0.000738,44.67,6.86,4.09,1
64,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,12,Wilmington,DE,39.7391,-75.5398,0.01894,240.45,240.24,-0.21267,-0.000884,45.4,5.29,3.2,1
65,12,Wilmington,DE,39.7391,-75.5398,0.01894,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,240.45,240.67,0.21267,0.000884,44.6,5.4,3.21,1
66,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,13,Baltimore,MD,39.2904,-76.6122,0.00625,196.24,196.02,-0.22536,-0.001148,45.52,4.31,2.61,1
67,13,Baltimore,MD,39.2904,-76.6122,0.00625,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,196.24,196.47,0.22536,0.001148,44.48,4.42,2.62,1
68,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,15,Charleston,WV,38.3498,-81.6326,0.11307,168.83,168.71,-0.11854,-0.000702,45.32,3.72,2.25,1
69,15,Charleston,WV,38.3498,-81.6326,0.11307,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,168.83,168.95,0.11854,0.000702,44.68,3.78,2.25,1
70,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,23,Columbus,OH,39.9612,-82.9988,0.17083,161.89,161.83,-0.06078,-0.000375,45.17,3.58,2.16,1
71,23,Columbus,OH,39.9612,-82.9988,0.17083,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,161.89,161.95,0.06078,0.000375,44.83,3.61,2.16,1
72,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,24,Cleveland,OH,41.4993,-81.6944,0.12367,114.9,114.79,-0.10794,-0.000939,45.42,2.53,1.53,1
73,24,Cleveland,OH,41.4993,-81.6944,0.12367,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,114.9,115.01,0.10794,0.000939,44.58,2.58,1.53,1
74,11,Newark,NJ,40.7357,-74.1724,0.00568,12,Wilmington,DE,39.7391,-75.5398,0.01894,99.71,99.73,0.01326,0.000133,44.94,2.22,1.33,1
75,12,Wilmington,DE,39.7391,-75.5398,0.01894,11,Newark,NJ,40.7357,-74.1724,0.00568,99.71,99.7,-0.01326,-0.000133,45.06,2.21,1.33,1
76,12,Wilmington,DE,39.7391,-75.5398,0.01894,13,Baltimore,MD,39.2904,-76.6122,0.00625,65.03,65.02,-0.01269,-0.000195,45.09,1.44,0.87,1
77,13,Baltimore,MD,39.2904,-76.6122,0.00625,12,Wilmington,DE,39.7391,-75.5398,0.01894,65.03,65.04,0.01269,0.000195,44.91,1.45,0.87,1
78,13,Baltimore,MD,39.2904,-76.6122,0.00625,14,Richmond,VA,37.5407,-77.436,0.03144,128.86,128.88,0.02519,0.000195,44.91,2.87,1.72,1
79,14,Richmond,VA,37.5407,-77.436,0.03144,13,Baltimore,MD,39.2904,-76.6122,0.00625,128.86,128.83,-0.02519,-0.000195,45.09,2.86,1.72,1
80,13,Baltimore,MD,39.2904,-76.6122,0.00625,15,Charleston,WV,38.3498,-81.6326,0.11307,277.92,278.03,0.10682,0.000384,44.83,6.2,3.71,1
81,15,Charleston,WV,38.3498,-81.6326,0.11307,13,Baltimore,MD,39.2904,-76.6122,0.00625,277.92,277.82,-0.10682,-0.000384,45.17,6.15,3.7,1
82,14,Richmond,VA,37.5407,-77.436,0.03144,15,Charleston,WV,38.3498,-81.6326,0.11307,235.37,235.45,0.08163,0.000347,44.84,5.25,3.14,1
83,15,Charleston,WV,38.3498,-81.6326,0.11307,14,Richmond,VA,37.5407,-77.436,0.03144,235.37,235.29,-0.08163,-0.000347,45.16,5.21,3.14,1
84,14,Richmond,VA,37.5407,-77.436,0.03144,16,Charlotte,NC,35.2271,-80.8431,0.14223,247.9,248.01,0.11079,0.000447,44.8,5.54,3.31,1
85,16,Charlotte,NC,35.2271,-80.8431,0.14223,14,Richmond,VA,37.5407,-77.436,0.03144,247.9,247.79,-0.11079,-0.000447,45.2,5.48,3.3,1
86,14,Richmond,VA,37.5407,-77.436,0.03144,17,Raleigh,NC,35.7796,-78.6382,0.05966,138.73,138.76,0.02822,0.000203,44.91,3.09,1.85,1
87,17,Raleigh,NC,35.7796,-78.6382,0.05966,14,Richmond,VA,37.5407,-77.436,0.03144,138.73,138.7,-0.02822,-0.000203,45.09,3.08,1.85,1
88,14,Richmond,VA,37.5407,-77.436,0.03144,27,Louisville,KY,38.2527,-85.7585,0.08826,456.27,456.33,0.05682,0.000125,44.94,10.15,6.08,1
89,27,Louisville,KY,38.2527,-85.7585,0.08826,14,Richmond,VA,37.5407,-77.436,0.03144,456.27,456.22,-0.05682,-0.000125,45.06,10.13,6.08,1
90,14,Richmond,VA,37.5407,-77.436,0.03144,28,Nashville,TN,36.1627,-86.7816,0.11307,525.17,525.25,0.08163,0.000155,44.93,11.69,7,1
91,28,Nashville,TN,36.1627,-86.7816,0.11307,14,Richmond,VA,37.5407,-77.436,0.03144,525.17,525.09,-0.08163,-0.000155,45.07,11.65,7,1
92,14,Richmond,VA,37.5407,-77.436,0.03144,29,Memphis,TN,35.1495,-90.049,0.06382,720.51,720.54,0.03238,4.50E-05,44.98,16.02,9.61,2
93,29,Memphis,TN,35.1495,-90.049,0.06382,14,Richmond,VA,37.5407,-77.436,0.03144,720.51,720.48,-0.03238,-4.50E-05,45.02,16,9.61,2
94,15,Charleston,WV,38.3498,-81.6326,0.11307,23,Columbus,OH,39.9612,-82.9988,0.17083,133.24,133.3,0.05776,0.000434,44.8,2.98,1.78,1
95,23,Columbus,OH,39.9612,-82.9988,0.17083,15,Charleston,WV,38.3498,-81.6326,0.11307,133.24,133.18,-0.05776,-0.000434,45.2,2.95,1.78,1
96,15,Charleston,WV,38.3498,-81.6326,0.11307,24,Cleveland,OH,41.4993,-81.6944,0.12367,217.64,217.65,0.0106,4.90E-05,44.98,4.84,2.9,1
